"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Dec 29 15:30:06 CST 2021","Wed Dec 29 15:30:19 CST 2021","12566","ddt","Commerrce_test","TestComm","","","正常查询",""
"passed","Wed Dec 29 15:29:47 CST 2021","Wed Dec 29 15:30:00 CST 2021","13562","ddt","Commerrce_test","TestComm","","","登录失败",""
"passed","Wed Dec 29 15:30:00 CST 2021","Wed Dec 29 15:30:06 CST 2021","5962","ddt","Commerrce_test","TestComm","","","登录成功",""
